District Name,County,Affordability & Value Score,Performance Index Score 2023-2024,Median Home Value,MEDIAN OHIO ADJUSTED GROSS INCOME,Total Local Tax Burden,Total Students
Benjamin Logan Local,Logan,137.52444307101192,91.6,253823.33256816387,47247.0,2.542524093031696,1588
Wauseon Exempted Village,Fulton,137.3068163938225,89.4,156300.45190080776,40291.0,2.877945566094657,1724
Alexander Local,Athens,137.1352889442256,86.1,155100.99189548808,40163.0,2.627117712762275,1403
Graham Local,Champaign,137.12212988495446,83.4,192986.75496688744,44119.0,2.222675063595965,1520
Kirtland Local,Lake,136.8976190973975,102.1,361507.2016534227,55032.5,3.28373375232017,1085
Northmor Local,Morrow,136.6538446329724,90.6,254956.0659599529,41502.0,2.289458790500558,1008
Independence Local,Cuyahoga,136.50783935545562,101.5,372774.2750731578,55956.0,3.117949313465035,1025
Northwestern Local,Wayne,136.18087635865245,90.3,184217.70391324846,40405.0,2.4464198547082012,1241
Huron City Schools,Erie,136.0774414576731,97.3,266809.49318115873,43242.0,2.970334605598992,1155
Riverdale Local,Hancock,135.8980081530169,81.3,189201.9386620054,41465.5,2.0417932116640056,930
Osnaburg Local,Stark,135.8148698591567,83.0,190490.595627564,41946.5,2.2646919026434587,881
Clear Fork Valley Local,Richland,135.77396179250286,88.7,166575.97720097232,40920.0,2.6605223081050866,1522
Strongsville City,Cuyahoga,135.61263974073253,99.8,264437.8447655331,54269.5,3.0573357425319325,5504
Parkway Local,Mercer,135.59137675293488,92.4,249754.11562215252,39466.0,2.2425175074009864,969
McComb Local,Hancock,135.40772242798823,88.1,232983.4305150632,42239.0,2.083675585538881,588
Bradford Exempted Village,Miami,135.37058678533424,77.9,142985.32092487768,41951.5,2.285452261303291,492
Waynesfield-Goshen Local,Auglaize,135.16790225487622,87.4,209495.99054068583,46004.0,2.2230741840743535,472
Keystone Local,Lorain,135.157132197274,89.0,222883.59134688115,47313.0,2.5341913527554087,1464
